"spp";"mass";"rbl";"clade";"TS";"TE"
"101";"Phlaocyon_achoros";0.434;0.650999999999996;"Borophaginae";25.531801126405;25.0846802842915
"102";"Phlaocyon_annectens";0.58;0.62433487800001;"Borophaginae";22.732858562326;18.9089960265216
"103";"Phlaocyon_latidens";0.435;0.57988165699999;"Borophaginae";31.3754860052373;25.3355140075822
"104";"Phlaocyon_leucosteus";0.623;0.651678034999998;"Borophaginae";22.0717646769879;16.1376785548908
"105";"Phlaocyon_mariae";1.419;0.652417125290567;"Borophaginae";17.5595092961471;17.1112813390598
"106";"Phlaocyon_marslandensis";0.761;0.58;"Borophaginae";18.5331032964479;16.2104834895504
"107";"Phlaocyon_minor";0.574;0.628873511000006;"Borophaginae";24.298005071913;17.0682396612
"108";"Phlaocyon_multicuspus";0.747;0.644078213219498;"Borophaginae";21.0385882550619;20.5947632008267
"109";"Phlaocyon_yatkolai";1.134;0.600000000000011;"Borophaginae";17.5390383475206;17.0932551428988
"110";"Protepicyon_raki";1.672;0.723186658000001;"Borophaginae";16.2163126418041;12.6593049761804
"111";"Protocyon_troglodytes";1.344;0.706710880035787;"Caninae";0.133675482354284;0.0453024988034479
"112";"Protomarctus_optatus";1.24;0.672000000000015;"Borophaginae";18.6097767015879;13.3500888790765
"113";"Psalidocyon_marianae";1.083;0.671689406999998;"Borophaginae";16.2613208876455;12.753973284202
"114";"Rhizocyon_oregonensis";0.548;0.658000000000007;"Borophaginae";28.8000526452109;25.0955805972569
"115";"Sunkahetanka_geringensis";1.263;0.698278675999983;"Hesperocyoninae";28.8346380385718;25.2547966715156
"116";"Tephrocyon_rurestris";1.322;0.721999999999988;"Borophaginae";18.2396187442355;12.7002317832746
"117";"Tomarctus_brevirostris";1.482;0.706134622000003;"Borophaginae";18.2799974948611;12.3559130711111
"118";"Tomarctus_hippophaga";1.34;0.674064290000006;"Borophaginae";18.191384612135;12.5005735538809
"119";"Urocyon_cinereoargenteus";0.584;0.631509359000005;"Caninae";2.2264922666181;0
"120";"Urocyon_citrinus";0.537;0.62808643300001;"Caninae";2.2861661933556;2.10660479808607
"121";"Urocyon_galushai";0.555;0.598656540530631;"Caninae";4.789386510361;1.48974651720703
"122";"Urocyon_littoralis";0.278;0.62808643300001;"Caninae";0.205931990997545;0
"123";"Urocyon_minicephalus";0.481;0.55118110199999;"Caninae";1.30343593290044;0.452597749527426
"124";"Urocyon_progressus";0.612;0.616198441936301;"Caninae";2.95694521655245;2.77871739288852
