"";"Taxon";"Region";"MinAge";"MaxAge";"Locality";"max.age";"min.age"
"44";"Protanancus chinjiensis";"Asia";16,4;17,2;"Dera Bugti 6_siteSet_1";17,2;11,2
"45";"Platybelodon danovi";"Europe";15,2;17;"Belometchetskaja_siteSet_1";17;9
"46";"Afromastodon coppensi";"Africa";14,2;16,4;"Arrisdrift_siteSet_1";16,4;14,2
"47";"Choerolophodon chioticus";"Europe";14,2;16,4;"Chios_siteSet_1";16,4;14,2
"48";"Gomphotherium inopinatum";"Asia";14,2;16,4;"Dzhilanchik (Uly-Dzhilanchik)_siteSet_1";16,4;14,2
"49";"Platybelodon grangeri";"Asia";14,8;16,4;"Bel'karasu_siteSet_1";16,4;9,5
"50";"Miomastodon proavus";"North America";14,8;16;"Northern Great Basin NB18A_siteSet_1";16;10,65
"51";"Stegolophodon nasaiensis";"Asia";11,63;15,97;"Ban Na Sai_siteSet_1";15,97;11,63
"52";"Protanancus macinnesi";"Africa";13,82;15,97;"Kaloma_siteSet_1";15,97;12,4
"53";"Choerolophodon ngorora";"Africa";13,82;15,97;"Mbagathi_siteSet_1";15,97;7,25
"54";"Gomphotherium productum";"North America";13,6;15,97;"Annie's Geese Crossing Quarry_siteSet_1";15,97;9
"55";"Deinotherium indicum";"Asia";11,6;15,9;"Pasuda_siteSet_1";15,9;11,6
"56";"Gomphotherium connexum";"Asia";11,2;15,2;"Huangzhong-diaogou_siteSet_1";15,2;11,2
"57";"Gomphotherium wimani";"Asia";11,2;15,2;"Huangzhong-diaogou_siteSet_1";15,2;5,3
"58";"Platybelodon tongxinensis";"Asia";12,5;15,2;"Tongxin-gujiazhuang_siteSet_1";15,2;12,5
"59";"Protanancus brevirostris";"Asia";13,5;15;"Dalanggou (Hongliugou Fm, Linxia Bs)_siteSet_1";15;13,5
"60";"Aphanobelodon zhaoi";"Asia";13,5;15;"Maerzuizigou_siteSet_1";15;13,5
"61";"Choerolophodon guangheensis";"Asia";13,5;15;"Dalanggou (Hongliugou Fm, Linxia Bs)_siteSet_1";15;13,5
"62";"Protanancus tobieni";"Asia";13,5;15;"Tongxin-dingjiaergou_siteSet_1";15;13,5
"63";"Eubelodon morrilli";"North America";12,5;14,8;"Central Great Plains CP114C_siteSet_1";14,8;10,1
"64";"Megabelodon joraki";"North America";12,5;14,8;"Southern Great Basin SB32D_siteSet_1";14,8;12,5
"65";"Deinotherium giganteum";"Europe";11,2;14,2;"Devínská Nová Ves - Sandhill_siteSet_1";14,2;5,3
"66";"Deinotherium levius";"Asia";12,85;14,2;"Pasalar_siteSet_1";14,2;12,85
"67";"Gomphotherium tassyi";"Asia";11,1;13,5;"Laogou - Hujialiang Formation_siteSet_1";13,5;11,1
"68";"Stegolophodon latidens";"Asia";13,094;13,263;"Mae Moh_siteSet_1";13,263;9
"69";"Tetralophodon longirostris";"Africa";11;13;"Cherichera_siteSet_1";13;5,3
"70";"Tetralophodon xiaolongtanensis";"Asia";11,2;12,85;"Chiang Muan_siteSet_1";12,85;11,2
"71";"Gomphotherium steinheimense";"Europe";9,5;12,85;"Giggenhausen_siteSet_1";12,85;9,5
"72";"Anancus arvernensis";"Europe";11,2;12,85;"Serbian lake_siteSet_1";12,85;1,95
"73";"Choerolophodon pentelici";"Asia";11,2;12,85;"Sofca_siteSet_1";12,85;4,2
"74";"Megabelodon lulli";"North America";12,1;12,5;"Central Great Plains CP114D_siteSet_1";12,5;12,1
"75";"Zygolophodon chinjiensis";"Asia";11,2;12,5;"Kaiyuan-Xiaolongtan_siteSet_1";12,5;11,2
"76";"Serbelodon burnhami";"North America";10,3;12,4;"Dove Spring (Lower)_siteSet_1";12,4;10,3
