"species","RBL","RLGA","M1BS","M2S","p4S"
"Epicyon_haydeni",0.735317362000009,0.616413380000002,0.123074564000003,0.346936977,0.601754855000004
"Epicyon_saevus",0.716669237000011,0.66996154799999,0.128838064999997,0.373997906999994,0.588651973999999
"Eucyon_davisi",0.671974482999994,0.804561576999988,0.0969407810000006,0.418329883000008,0.390752410999995
"Eucyon_skinneri",0.623000000000003,0.961104268558866,0.0872333197755638,0.450779492739093,0.403276511889299
"Euoplocyon_brachygnathus",0.703322526999994,0.659317897000007,0.0993409040000015,0.349160277000006,0.564708657999985
"Euoplocyon_spissidens",0.620000000000004,0.967254466327401,0.0877274268696066,0.45082946811217,0.525519699706391
"Hesperocyon_coloradensis",0.653614457999995,0.796225115999989,0.0887888710000007,0.336258455000005,0.505988023999989
"Hesperocyon_gregarius",0.673142277000008,0.822415021999982,0.0993228899999997,0.420881161000007,0.424789186999992
"Leptocyon_douglassi",0.697000000000003,0.763833902808044,0.104644365117544,0.419737049177557,0.437333867276453
"Leptocyon_gregorii",0.700177631999997,0.72418642900001,0.110246623999999,0.390123388000005,0.430505224999994
"Leptocyon_leidyi",0.66228808000001,0.80340571099999,0.0911495910000004,0.418537049999998,0.425102046999997
"Leptocyon_matthewi",0.674999999999995,0.809443002891952,0.100227857149109,0.424749158962301,0.412467578540231
"Leptocyon_mollis",0.650999999999996,0.894837844608837,0.0932404011463944,0.445351601857825,0.43183971180321
"Leptocyon_tejonensis",0.62900000000001,0.946050770529312,0.0896859796678786,0.456241437483803,0.397002626803104
"Leptocyon_vafer",0.688529745999983,0.778246683000013,0.100416567,0.414367900000002,0.398355861000009
"Leptocyon_vulpinus",0.699363369000015,0.806409450000012,0.104130717139321,0.440484856000008,0.404034873
"Mesocyon_brachyops",0.708999999999987,0.734375395036342,0.104255411475367,0.409683293943355,0.525711835917982
"Mesocyon_coryphaeus",0.71704180100001,0.728102550000009,0.10904637151105,0.413805255,0.59070796499999
"Mesocyon_temnodon",0.684419198,0.81769257200002,0.0861218919999992,0.434932149000006,0.441986224000004
"Metalopex_bakeri",0.534309946000005,1.2031372680573,0.0630403000774395,0.510316561331182,0.349650349999995
"Metalopex_macconnelli",0.633041893000003,0.861510965999994,0.0913445797170246,0.421603423000006,0.417274544000005
"Metalopex_merriami",0.678072289000013,0.853586802999991,0.0978551640514915,0.463363352999992,0.358529110999997
"Metatomarctus_canavus",0.676497781999996,0.862040814000009,0.108471206999998,0.454068370000004,0.501198531999992
"Microtomarctus_conferta",0.680089662999992,0.80441472799999,0.115510336,0.430482520999992,0.548081774000012
"Osbornodon_brachypus",0.703766160999986,0.770046759000015,0.096485819999999,0.405325575000005,0.457849961000007
"Osbornodon_fricki",0.731094764999997,0.651684223999993,0.116455942000002,0.360076049000001,0.527046310999997
